req_id,room_id,course,start_minute,end_minute,day
1,5,Chemistry,570,660,Mon
2,7,Mathematics,630,720,Tue
3,9,Art,690,780,Thu
4,2,Physics,600,690,Tue
5,4,Programming,660,750,Thu
6,10,Economics,480,540,Fri
7,1,Calculus,540,630,Mon
8,3,Literature,480,570,Wed
9,6,Biology,510,600,Mon
10,8,History,540,600,Wed
11,2,Mathematics,630,720,Tue
12,5,Biology,510,600,Fri
13,9,Sociology,540,630,Thu
14,7,Economics,480,540,Mon
15,4,Chemistry,570,660,Mon
16,1,Programming,660,750,Thu
17,3,Art,690,780,Thu
18,10,Calculus,570,660,Fri
19,8,Philosophy,600,690,Tue
20,6,History,540,600,Wed
21,2,programming,630,720,tue
22,5,Biology,-30,600,Wed
23,9,Sociology,-15,630,Thu
24,3,Literature,700,680,Thu
25,7,Economics,540,,Mon
26,1,Chemistry,510,600,Mon
27,4,PHYSICS,660,750,WED
28,6,History,,540,Fri
29,10,Mathematics,540,630,Mon
30,8,Philosophy,600,690,tue
31,2,Art,600,690,Tue
32,5,Biology,510,600,Thu
33,9,Philosophy,600,690,Tue
34,1,Calculus,720,720,Fri
35,3, Chemistry,480,570,Wed
36,7,History,630,720,Fri
37,4,Sociology,660,750,Wed
38,10,Literature,570,660,Fri
39,8,Economics,540,600,Mon
40,6,Programming,540,630,Thu
41,2,calculus,660,750,tue
42,11,Physics,630,720,Mon
43,3,Mathematics,510,600,Wed
44,5,Economics,480,540,Fri
45,9,Art,540,630,Tue
46,7,Chemistry,690,780,Thu
47,4,History,660,750,Wed
48,8,Biology,600,690,Mon
49,10,Programming,630,720,Fri
50,6,Philosophy,570,660,Thu
51,2,Physics,600,690,Tue
52,1,Sociology,540,600,Mon
53,3,Literature,480,570,Wed
54,5,Chemistry,660,750,Thu
55,8,Mathematics,630,720,Mon
56,7,Biology,510,600,Fri
57,4,Art,540,630,Tue
58,9,Philosophy,660,750,Thu
59,10,History,570,660,Fri
60,6,Economics,600,690,Wed
61,2,Sociology,540,600,Tue
62,1,Programming,630,720,Mon
63,5,Literature,660,750,Fri
64,3,Physics,600,690,Wed
65,8,Chemistry,510,600,Mon
66,7,Calculus,480,570,Thu
67,4,Biology,630,720,Tue
68,9,Art,600,690,Thu
69,10,Economics,660,750,Fri
70,6,Mathematics,540,630,Wed
71,2,History,540,600,Tue
72,1,Philosophy,570,660,Mon
73,5,Sociology,480,570,Thu
74,3,Programming,600,690,Wed
75,8,Literature,510,600,Mon
76,7,Physics,660,750,Fri
77,4,Mathematics,630,720,Tue
78,9,Biology,600,690,Thu
79,10,Art,660,750,Fri
80,6,Chemistry,540,630,Wed
81,12,Philosophy,540,600,Tue
82,1,Economics,570,660,Mon
83,5,Physics,660,750,Fri
84,3,History,600,690,Wed
85,8,Sociology,510,600,Mon
86,7,Programming,480,570,Thu
87,4,Literature,630,720,Tue
88,9,Chemistry,600,690,Thu
89,10,Biology,660,750,Fri
90,6,Mathematics,540,630,Wed
91,2,Economics,540,600,Tue
92,1,Art,570,660,Mon
93,5,History,480,570,Thu
94,3,Philosophy,600,690,Wed
95,8,Physics,510,600,Mon
96,7,Programming,660,750,Fri
97,4,Sociology,630,720,Tue
98,9,Mathematics,600,690,Thu
99,10,Chemistry,660,750,Fri
100,6,Literature,540,630,Wed
101,2,Art,540,600,Tue
102,1,Biology,570,660,Mon
103,5,History,660,750,Fri
104,3,Economics,600,690,Wed
105,8,Programming,510,600,Mon
106,7,Philosophy,480,570,Thu
107,9,Chemistry,570,660,Thu
108,4,Mathematics,630,720,Wed
109,10,Economics,480,540,Thu
110,6,History,540,600,Fri
111,1,Calculus,540,630,Mon
112,2,Biology,510,600,Mon
113,5,Literature,480,570,Fri
114,3,Physics,600,690,Wed
115,8,Art,690,780,Tue
116,7,Programming,660,750,Tue
117,9,chemistry,510,600,thu
118,4,Biology,750,690,Wed
119,10,History,720,720,Thu
120,6,Mathematics,,540,Fri
121,1,Philosophy,600,690,Mon
122,2,Programming,-45,630,Mon
123,5,Physics,540,630,Fri
124,3,Sociology,660,750,Wed
125,8,Economics,540,,Tue
126,7,Literature,570,660,Tue
127,9,Physics,-60,600,Fri
128,4,Programming,510,600,Fri
129,10,Mathematics,480,540,Mon
130,6,Chemistry,660,750,Tue
131,13, ART,600,690,Mon
132,2,Calculus,630,720,Wed
133,5,Sociology,540,630,wed
134,3,Philosophy,660,750,tue
